request_id,field,predicted,expected,amount_safe_pred,amount_safe_expected,earliest_pred,earliest_expected,runner_up_rule,candidates,validation_error,pipeline_error,explanation
request_03,amount_safe_to_pay,822906.86,873000,822906.86,873000,2019-11-15,2019-11-15,,wait[-] n=1 start=2019-11-15 total=5491000 deadline=y changes=0 -> winner || installments[payment_option_09] n=21 start=2019-09-17 total=6479379.9 deadline=n changes=0 -> ineligible: 21 payments > max_installment_months 2 || installments[payment_option_10] n=24 start=2019-09-06 total=6699019.92 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 2,,,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,affordability_status,not_affordable,affordable_later,0,8401800,,2024-06-15,,installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Do not make this payment by 19 June 2024. None of the available options keeps the IDR 30,686,600 minimum protected."
request_04,recommended_payment_method,not_recommended,wait,0,8401800,,2024-06-15,,installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Do not make this payment by 19 June 2024. None of the available options keeps the IDR 30,686,600 minimum protected."
request_04,earliest_date_for_full_payment,,2024-06-15,0,8401800,,2024-06-15,,installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Do not make this payment by 19 June 2024. None of the available options keeps the IDR 30,686,600 minimum protected."
request_04,payment_plan,none,2024-06-15:12693000,0,8401800,,2024-06-15,,installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Do not make this payment by 19 June 2024. None of the available options keeps the IDR 30,686,600 minimum protected."
request_04,amount_safe_to_pay,0,8401800,0,8401800,,2024-06-15,,installments[payment_option_12] n=15 start=2024-06-04 total=13137255 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,"Do not make this payment by 19 June 2024. None of the available options keeps the IDR 30,686,600 minimum protected."
request_05,amount_safe_to_pay,0,737,0,737,,,,installments[payment_option_14] n=18 start=2025-11-09 total=17656.38 deadline=n changes=0 -> ineligible: 18 payments > max_installment_months 4 || installments[payment_option_15] n=24 start=2025-11-20 total=18895.44 deadline=n changes=0 -> ineligible: 24 payments > max_installment_months 4,,,"Do not make this payment by 12 January 2026. None of the available options keeps the ZAR 13,100 minimum protected."
request_06,affordability_status,affordable_later,affordable_with_plan,440.74,603.3,2026-03-15,2026-01-15,,wait[-] n=1 start=2026-03-15 total=620.4 deadline=n changes=0 -> winner || installments[payment_option_17] n=21 start=2026-01-10 total=732.06 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider || installments[payment_option_18] n=6 start=2026-01-17 total=670.02 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,Pay EUR 620.40 in full on 15 March 2026. Paying earlier would take the balance below the EUR 800 minimum.
request_06,recommended_payment_method,wait,full_payment,440.74,603.3,2026-03-15,2026-01-15,,wait[-] n=1 start=2026-03-15 total=620.4 deadline=n changes=0 -> winner || installments[payment_option_17] n=21 start=2026-01-10 total=732.06 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider || installments[payment_option_18] n=6 start=2026-01-17 total=670.02 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,Pay EUR 620.40 in full on 15 March 2026. Paying earlier would take the balance below the EUR 800 minimum.
request_06,earliest_date_for_full_payment,2026-03-15,2026-01-15,440.74,603.3,2026-03-15,2026-01-15,,wait[-] n=1 start=2026-03-15 total=620.4 deadline=n changes=0 -> winner || installments[payment_option_17] n=21 start=2026-01-10 total=732.06 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider || installments[payment_option_18] n=6 start=2026-01-17 total=670.02 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,Pay EUR 620.40 in full on 15 March 2026. Paying earlier would take the balance below the EUR 800 minimum.
request_06,payment_plan,2026-03-15:620.40,2026-01-03:620.40,440.74,603.3,2026-03-15,2026-01-15,,wait[-] n=1 start=2026-03-15 total=620.4 deadline=n changes=0 -> winner || installments[payment_option_17] n=21 start=2026-01-10 total=732.06 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider || installments[payment_option_18] n=6 start=2026-01-17 total=670.02 deadline=n changes=0 -> ineligible: installments not in payment_methods_user_will_consider,,,Pay EUR 620.40 in full on 15 March 2026. Paying earlier would take the balance below the EUR 800 minimum.
